time_s,sport_x,sport_y,sport_z,sport_roll,sport_pitch,sport_yaw,sport_vx,sport_vy,sport_vz,sport_yaw_speed,body_height,mode,gait_type,error_code,odom_x,odom_y,odom_z,odom_roll,odom_pitch,odom_yaw,odom_vx,odom_vy,odom_vz,odom_wx,odom_wy,odom_wz
1779593377.460238,-0.129062,-0.019881,0.306633,-0.023804,0.005200,0.537711,-0.000000,0.000000,-0.000000,-0.010653,0.316234,0,0,100,-0.129048,-0.019876,0.306633,-0.023803,0.005235,0.537731,-0.000000,-0.000000,0.000000,-0.010653,-0.006392,-0.017044
1779593377.464241,-0.129062,-0.019884,0.306633,-0.023796,0.005177,0.537681,-0.000000,0.000000,-0.000000,-0.009587,0.316236,0,0,100,-0.129062,-0.019884,0.306633,-0.023796,0.005177,0.537681,-0.000000,0.000000,-0.000000,-0.003196,-0.019175,-0.009587
1779593377.468267,-0.129065,-0.019879,0.306633,-0.023793,0.005160,0.537634,-0.000000,0.000000,0.000000,-0.005326,0.316235,0,0,100,-0.129062,-0.019884,0.306633,-0.023796,0.005177,0.537681,-0.000000,0.000000,-0.000000,-0.003196,-0.019175,-0.009587
1779593377.470262,-0.129072,-0.019881,0.306633,-0.023799,0.005143,0.537629,-0.000000,0.000000,-0.000000,-0.005326,0.316232,0,0,100,-0.129062,-0.019884,0.306633,-0.023796,0.005177,0.537681,-0.000000,0.000000,-0.000000,-0.003196,-0.019175,-0.009587
1779593377.474266,-0.129081,-0.019884,0.306632,-0.023804,0.005123,0.537597,0.000000,0.000000,-0.000000,0.000000,0.316234,0,0,100,-0.129072,-0.019881,0.306633,-0.023799,0.005143,0.537629,-0.000000,0.000000,-0.000000,-0.013848,-0.020240,-0.005326
1779593377.478259,-0.129078,-0.019882,0.306633,-0.023806,0.005121,0.537596,0.000000,-0.000000,0.000000,0.005326,0.316237,0,0,100,-0.129072,-0.019881,0.306633,-0.023799,0.005143,0.537629,-0.000000,0.000000,-0.000000,-0.013848,-0.020240,-0.005326
1779593377.480254,-0.129084,-0.019886,0.306633,-0.023811,0.005107,0.537622,-0.000000,-0.000000,0.000000,0.004261,0.316235,0,0,100,-0.129078,-0.019882,0.306633,-0.023806,0.005121,0.537596,0.000000,-0.000000,0.000000,-0.006392,-0.006392,0.005326
1779593377.484256,-0.129092,-0.019885,0.306633,-0.023834,0.005116,0.537640,-0.000000,0.000000,-0.000000,0.011718,0.316232,0,0,100,-0.129078,-0.019882,0.306633,-0.023806,0.005121,0.537596,0.000000,-0.000000,0.000000,-0.006392,-0.006392,0.005326
1779593377.488282,-0.129090,-0.019878,0.306632,-0.023845,0.005143,0.537668,0.000000,0.000000,-0.000000,0.005326,0.316234,0,0,100,-0.129092,-0.019885,0.306633,-0.023834,0.005116,0.537640,-0.000000,0.000000,-0.000000,-0.015979,-0.008522,0.011718
1779593377.490261,-0.129088,-0.019875,0.306632,-0.023849,0.005145,0.537679,0.000000,0.000000,-0.000000,0.003196,0.316231,0,0,100,-0.129092,-0.019885,0.306633,-0.023834,0.005116,0.537640,-0.000000,0.000000,-0.000000,-0.015979,-0.008522,0.011718
1779593377.494266,-0.129083,-0.019875,0.306632,-0.023847,0.005151,0.537690,0.000000,-0.000000,-0.000000,0.009587,0.316236,0,0,100,-0.129088,-0.019875,0.306632,-0.023849,0.005145,0.537679,0.000000,0.000000,-0.000000,-0.002131,-0.013848,0.003196
1779593377.498270,-0.129081,-0.019882,0.306632,-0.023817,0.005159,0.537741,-0.000000,-0.000000,-0.000000,0.018109,0.316234,0,0,100,-0.129088,-0.019875,0.306632,-0.023849,0.005145,0.537679,0.000000,0.000000,-0.000000,-0.002131,-0.013848,0.003196
1779593377.500249,-0.129079,-0.019878,0.306632,-0.023827,0.005163,0.537763,0.000000,0.000000,-0.000000,0.011718,0.316232,0,0,100,-0.129081,-0.019882,0.306632,-0.023817,0.005159,0.537742,-0.000000,-0.000000,-0.000000,-0.003196,0.004261,0.018109
1779593377.504483,-0.129078,-0.019882,0.306633,-0.023798,0.005146,0.537802,0.000000,-0.000000,0.000000,0.010653,0.316236,0,0,100,-0.129081,-0.019882,0.306632,-0.023817,0.005159,0.537742,-0.000000,-0.000000,-0.000000,-0.003196,0.004261,0.018109
1779593377.508707,-0.129081,-0.019884,0.306633,-0.023813,0.005142,0.537850,-0.000000,0.000000,-0.000000,0.014914,0.316232,0,0,100,-0.129078,-0.019882,0.306633,-0.023798,0.005146,0.537802,0.000000,-0.000000,0.000000,-0.005326,-0.003196,0.010653
1779593377.510239,-0.129081,-0.019884,0.306632,-0.023813,0.005142,0.537850,-0.000000,0.000000,-0.000000,0.014914,0.316232,0,0,100,-0.129081,-0.019884,0.306632,-0.023813,0.005142,0.537851,-0.000000,0.000000,-0.000000,-0.012783,0.004261,0.014914
1779593377.514218,-0.129087,-0.019877,0.306632,-0.023844,0.005139,0.537858,-0.000000,0.000000,-0.000000,0.002131,0.316232,0,0,100,-0.129081,-0.019884,0.306632,-0.023813,0.005142,0.537851,-0.000000,0.000000,-0.000000,-0.012783,0.004261,0.014914
1779593377.518181,-0.129093,-0.019871,0.306632,-0.023858,0.005140,0.537863,-0.000000,0.000000,-0.000000,0.012783,0.316232,0,0,100,-0.129093,-0.019871,0.306632,-0.023858,0.005140,0.537863,-0.000000,0.000000,-0.000000,-0.021305,-0.006392,0.012783
1779593377.520232,-0.129088,-0.019870,0.306632,-0.023874,0.005129,0.537862,0.000000,0.000000,-0.000000,0.006392,0.316232,0,0,100,-0.129093,-0.019871,0.306632,-0.023858,0.005140,0.537863,-0.000000,0.000000,-0.000000,-0.021305,-0.006392,0.012783
