ix,iy,x,y,occupied
30,32,-1.20838,-0.91986,1
31,32,-1.15838,-0.91986,1
34,32,-1.00838,-0.91986,1
36,32,-0.90838,-0.91986,1
39,32,-0.75838,-0.91986,1
41,32,-0.65838,-0.91986,1
42,32,-0.60838,-0.91986,1
43,32,-0.55838,-0.91986,1
44,32,-0.50838,-0.91986,1
45,32,-0.45838,-0.91986,1
47,32,-0.35838,-0.91986,1
68,32,0.69162,-0.91986,1
69,32,0.74162,-0.91986,1
70,32,0.79162,-0.91986,1
71,32,0.84162,-0.91986,1
72,32,0.89162,-0.91986,1
73,32,0.94162,-0.91986,1
74,32,0.99162,-0.91986,1
75,32,1.04162,-0.91986,1
76,32,1.09162,-0.91986,1
77,32,1.14162,-0.91986,1
78,32,1.19162,-0.91986,1
79,32,1.24162,-0.91986,1
80,32,1.29162,-0.91986,1
81,32,1.34162,-0.91986,1
82,32,1.39162,-0.91986,1
83,32,1.44162,-0.91986,1
84,32,1.49162,-0.91986,1
85,32,1.54162,-0.91986,1
86,32,1.59162,-0.91986,1
121,32,3.34162,-0.91986,1
122,32,3.39162,-0.91986,1
124,32,3.49162,-0.91986,1
125,32,3.54162,-0.91986,1
12,33,-2.10838,-0.86986,1
14,33,-2.00838,-0.86986,1
15,33,-1.95838,-0.86986,1
16,33,-1.90838,-0.86986,1
17,33,-1.85838,-0.86986,1
18,33,-1.80838,-0.86986,1
19,33,-1.75838,-0.86986,1
20,33,-1.70838,-0.86986,1
21,33,-1.65838,-0.86986,1
22,33,-1.60838,-0.86986,1
23,33,-1.55838,-0.86986,1
24,33,-1.50838,-0.86986,1
29,33,-1.25838,-0.86986,1
30,33,-1.20838,-0.86986,1
33,33,-1.05838,-0.86986,1
34,33,-1.00838,-0.86986,1
35,33,-0.95838,-0.86986,1
38,33,-0.80838,-0.86986,1
39,33,-0.75838,-0.86986,1
40,33,-0.70838,-0.86986,1
41,33,-0.65838,-0.86986,1
42,33,-0.60838,-0.86986,1
43,33,-0.55838,-0.86986,1
66,33,0.59162,-0.86986,1
67,33,0.64162,-0.86986,1
69,33,0.74162,-0.86986,1
70,33,0.79162,-0.86986,1
71,33,0.84162,-0.86986,1
72,33,0.89162,-0.86986,1
73,33,0.94162,-0.86986,1
74,33,0.99162,-0.86986,1
75,33,1.04162,-0.86986,1
76,33,1.09162,-0.86986,1
77,33,1.14162,-0.86986,1
78,33,1.19162,-0.86986,1
80,33,1.29162,-0.86986,1
81,33,1.34162,-0.86986,1
83,33,1.44162,-0.86986,1
84,33,1.49162,-0.86986,1
85,33,1.54162,-0.86986,1
86,33,1.59162,-0.86986,1
121,33,3.34162,-0.86986,1
122,33,3.39162,-0.86986,1
123,33,3.44162,-0.86986,1
124,33,3.49162,-0.86986,1
125,33,3.54162,-0.86986,1
126,33,3.59162,-0.86986,1
12,34,-2.10838,-0.81986,1
14,34,-2.00838,-0.81986,1
15,34,-1.95838,-0.81986,1
17,34,-1.85838,-0.81986,1
18,34,-1.80838,-0.81986,1
19,34,-1.75838,-0.81986,1
20,34,-1.70838,-0.81986,1
21,34,-1.65838,-0.81986,1
22,34,-1.60838,-0.81986,1
29,34,-1.25838,-0.81986,1
30,34,-1.20838,-0.81986,1
31,34,-1.15838,-0.81986,1
32,34,-1.10838,-0.81986,1
33,34,-1.05838,-0.81986,1
36,34,-0.90838,-0.81986,1
37,34,-0.85838,-0.81986,1
38,34,-0.80838,-0.81986,1
40,34,-0.70838,-0.81986,1
41,34,-0.65838,-0.81986,1
42,34,-0.60838,-0.81986,1
43,34,-0.55838,-0.81986,1
65,34,0.54162,-0.81986,1
67,34,0.64162,-0.81986,1
70,34,0.79162,-0.81986,1
71,34,0.84162,-0.81986,1
72,34,0.89162,-0.81986,1
73,34,0.94162,-0.81986,1
74,34,0.99162,-0.81986,1
75,34,1.04162,-0.81986,1
76,34,1.09162,-0.81986,1
77,34,1.14162,-0.81986,1
78,34,1.19162,-0.81986,1
79,34,1.24162,-0.81986,1
80,34,1.29162,-0.81986,1
81,34,1.34162,-0.81986,1
82,34,1.39162,-0.81986,1
83,34,1.44162,-0.81986,1
85,34,1.54162,-0.81986,1
106,34,2.59162,-0.81986,1
122,34,3.39162,-0.81986,1
124,34,3.49162,-0.81986,1
125,34,3.54162,-0.81986,1
126,34,3.59162,-0.81986,1
128,34,3.69162,-0.81986,1
14,35,-2.00838,-0.76986,1
16,35,-1.90838,-0.76986,1
17,35,-1.85838,-0.76986,1
18,35,-1.80838,-0.76986,1
19,35,-1.75838,-0.76986,1
