x,y,z
3.47925,-1.31366,0.251794
3.47848,-1.33109,0.338947
3.46764,-1.34333,0.425971
3.4635,-1.35924,0.513683
3.46594,-1.37891,0.602795
3.46612,-1.39761,0.692675
3.31921,-1.33448,0.756437
3.2825,-1.33195,0.836166
3.26789,-1.34185,0.920405
2.23792,-1.86358,0.185231
1.53409,-1.03033,0.246177
2.2204,-1.90098,0.324536
2.20375,-1.91018,0.394275
1.44965,-0.976922,0.363494
1.22191,-1.76048,0.171171
1.20283,-1.75762,0.224571
1.1834,-1.75333,0.277471
0.889054,-0.929376,0.290127
0.888034,-0.958266,0.323107
0.865767,-0.921866,0.350953
0.299962,-1.66963,0.185172
0.771061,1.17835,0.272027
0.779146,1.17663,0.247861
0.787033,1.17427,0.223683
0.80087,1.19028,0.19882
0.811647,1.19604,0.173578
1.24061,1.18942,0.381616
1.31163,1.26309,0.361106
2.1485,2.21083,0.290892
2.16955,2.20561,0.226325
2.19019,2.19973,0.161274
3.06007,1.72458,0.789585
3.0892,1.72023,0.715441
3.12444,1.71915,0.641668
3.15896,1.71743,0.566755
3.18309,1.70979,0.489756
3.20545,1.70109,0.412065
3.23396,1.69553,0.334023
3.27045,1.69391,0.255007
3.29539,1.686,0.174636
2.49737,0.506196,0.687564
2.50062,0.49862,0.633354
3.00153,0.550611,0.665368
3.35116,0.581286,0.648954
3.5556,0.59313,0.597194
3.78899,0.606639,0.5378
3.78712,0.593975,0.451039
3.78393,0.581292,0.364683
3.7874,0.569365,0.278819
3.77864,0.556355,0.193043
2.48932,-0.297111,0.699349
2.93627,-0.424323,0.734874
1.78128,-0.105439,0.461616
1.75749,-0.10068,0.422453
1.62081,-0.0639586,0.371088
1.65219,-0.074499,0.343291
1.61572,-0.0657577,0.309354
1.72055,-0.0973911,0.283088
3.54366,-0.624216,0.272212
3.5799,-0.638919,0.188618
1.80449,-0.126861,0.179748
2.8829,-1.53343,0.803347
2.89546,-1.53984,0.725094
2.89131,-1.53373,0.643924
2.90053,-1.53762,0.565546
2.90012,-1.5343,0.486106
2.90604,-1.53566,0.407593
2.91033,-1.53576,0.328963
2.91298,-1.53459,0.250271
2.914,-1.53215,0.171572
1.27713,-1.13235,0.423839
1.18219,-0.954302,0.363411
1.1918,-0.963637,0.327989
1.22027,-1.00601,0.293539
1.2391,-1.03098,0.256231
1.24762,-1.03767,0.21759
1.22564,-0.99154,0.180751
0.718567,-1.05181,0.287274
0.720388,-1.03316,0.252804
0.720088,-1.0028,0.219457
0.711231,-0.924377,0.189565
0.713555,-0.91221,0.15933
0.54403,1.16494,0.170429
0.541179,1.18643,0.193466
0.53753,1.18734,0.217959
0.0659462,-1.62989,0.172357
0.938441,1.17907,0.236337
0.934908,1.18029,0.263169
2.06883,1.73377,0.186107
1.99407,1.66949,0.242342
2.10997,1.78852,0.301188
1.42135,1.12824,0.306646
3.72393,0.307223,0.203544
1.8853,0.263771,0.294027
1.8833,0.261555,0.330294
1.87039,0.259154,0.365544
1.84765,0.256636,0.39909
1.85279,0.254492,0.435801
1.85593,0.252283,0.472717
1.84042,0.249878,0.506357
1.8231,0.247485,0.539121
1.89226,-0.295203,0.176588
1.87331,-0.294274,0.215579
1.88043,-0.30346,0.253979
1.66649,-0.224893,0.283572
1.65466,-0.22566,0.315567
3.5398,-1.01314,0.621209
3.39908,-0.969371,0.686857
3.4085,-0.987707,0.773082
3.40745,-1.00187,0.858673
3.4131,-1.01913,0.947041
2.35261,-1.50046,0.172365
2.34232,-1.51242,0.237343
2.34513,-1.53706,0.30285
2.33858,-1.55299,0.368745
2.33845,-1.57547,0.435857
2.32976,-1.58981,0.502808
1.60712,-0.882212,0.438538
1.60213,-0.891524,0.480119
1.58395,-0.887335,0.518759
1.36821,-1.77774,0.197728
1.34079,-1.75704,0.252674
1.07344,-1.15476,0.284725
0.955166,-0.893834,0.30579
0.941724,-0.886089,0.335662
0.945672,-0.922989,0.370305
0.505562,-1.27732,0.194538
0.492115,-1.52382,0.232276
0.478846,-1.34626,0.271913
