ix,iy,x,y,occupied
63,18,3.61662,-0.69486,1
64,18,3.71662,-0.69486,1
6,19,-2.08338,-0.59486,1
7,19,-1.98338,-0.59486,1
8,19,-1.88338,-0.59486,1
9,19,-1.78338,-0.59486,1
10,19,-1.68338,-0.59486,1
16,19,-1.08338,-0.59486,1
17,19,-0.98338,-0.59486,1
18,19,-0.88338,-0.59486,1
19,19,-0.78338,-0.59486,1
20,19,-0.68338,-0.59486,1
21,19,-0.58338,-0.59486,1
22,19,-0.48338,-0.59486,1
26,19,-0.08338,-0.59486,1
27,19,0.01662,-0.59486,1
28,19,0.11662,-0.59486,1
29,19,0.21662,-0.59486,1
30,19,0.31662,-0.59486,1
31,19,0.41662,-0.59486,1
32,19,0.51662,-0.59486,1
33,19,0.61662,-0.59486,1
34,19,0.71662,-0.59486,1
35,19,0.81662,-0.59486,1
38,19,1.11662,-0.59486,1
39,19,1.21662,-0.59486,1
40,19,1.31662,-0.59486,1
41,19,1.41662,-0.59486,1
47,19,2.01662,-0.59486,1
56,19,2.91662,-0.59486,1
57,19,3.01662,-0.59486,1
61,19,3.41662,-0.59486,1
62,19,3.51662,-0.59486,1
63,19,3.61662,-0.59486,1
7,20,-1.98338,-0.49486,1
8,20,-1.88338,-0.49486,1
9,20,-1.78338,-0.49486,1
10,20,-1.68338,-0.49486,1
18,20,-0.88338,-0.49486,1
19,20,-0.78338,-0.49486,1
20,20,-0.68338,-0.49486,1
21,20,-0.58338,-0.49486,1
22,20,-0.48338,-0.49486,1
23,20,-0.38338,-0.49486,1
24,20,-0.28338,-0.49486,1
25,20,-0.18338,-0.49486,1
26,20,-0.08338,-0.49486,1
27,20,0.01662,-0.49486,1
28,20,0.11662,-0.49486,1
29,20,0.21662,-0.49486,1
30,20,0.31662,-0.49486,1
31,20,0.41662,-0.49486,1
32,20,0.51662,-0.49486,1
33,20,0.61662,-0.49486,1
38,20,1.11662,-0.49486,1
39,20,1.21662,-0.49486,1
40,20,1.31662,-0.49486,1
45,20,1.81662,-0.49486,1
46,20,1.91662,-0.49486,1
47,20,2.01662,-0.49486,1
52,20,2.51662,-0.49486,1
54,20,2.71662,-0.49486,1
56,20,2.91662,-0.49486,1
57,20,3.01662,-0.49486,1
63,20,3.61662,-0.49486,1
6,21,-2.08338,-0.39486,1
7,21,-1.98338,-0.39486,1
9,21,-1.78338,-0.39486,1
21,21,-0.58338,-0.39486,1
22,21,-0.48338,-0.39486,1
23,21,-0.38338,-0.39486,1
27,21,0.01662,-0.39486,1
28,21,0.11662,-0.39486,1
29,21,0.21662,-0.39486,1
30,21,0.31662,-0.39486,1
31,21,0.41662,-0.39486,1
32,21,0.51662,-0.39486,1
33,21,0.61662,-0.39486,1
43,21,1.61662,-0.39486,1
44,21,1.71662,-0.39486,1
45,21,1.81662,-0.39486,1
46,21,1.91662,-0.39486,1
47,21,2.01662,-0.39486,1
50,21,2.31662,-0.39486,1
51,21,2.41662,-0.39486,1
52,21,2.51662,-0.39486,1
53,21,2.61662,-0.39486,1
55,21,2.81662,-0.39486,1
56,21,2.91662,-0.39486,1
57,21,3.01662,-0.39486,1
63,21,3.61662,-0.39486,1
8,22,-1.88338,-0.29486,1
9,22,-1.78338,-0.29486,1
10,22,-1.68338,-0.29486,1
27,22,0.01662,-0.29486,1
28,22,0.11662,-0.29486,1
29,22,0.21662,-0.29486,1
30,22,0.31662,-0.29486,1
31,22,0.41662,-0.29486,1
32,22,0.51662,-0.29486,1
43,22,1.61662,-0.29486,1
44,22,1.71662,-0.29486,1
45,22,1.81662,-0.29486,1
46,22,1.91662,-0.29486,1
47,22,2.01662,-0.29486,1
48,22,2.11662,-0.29486,1
49,22,2.21662,-0.29486,1
51,22,2.41662,-0.29486,1
52,22,2.51662,-0.29486,1
53,22,2.61662,-0.29486,1
54,22,2.71662,-0.29486,1
57,22,3.01662,-0.29486,1
58,22,3.11662,-0.29486,1
63,22,3.61662,-0.29486,1
7,23,-1.98338,-0.19486,1
11,23,-1.58338,-0.19486,1
12,23,-1.48338,-0.19486,1
13,23,-1.38338,-0.19486,1
29,23,0.21662,-0.19486,1
43,23,1.61662,-0.19486,1
44,23,1.71662,-0.19486,1
45,23,1.81662,-0.19486,1
46,23,1.91662,-0.19486,1
47,23,2.01662,-0.19486,1
48,23,2.11662,-0.19486,1
49,23,2.21662,-0.19486,1
50,23,2.31662,-0.19486,1
51,23,2.41662,-0.19486,1
52,23,2.51662,-0.19486,1
53,23,2.61662,-0.19486,1
57,23,3.01662,-0.19486,1
63,23,3.61662,-0.19486,1
64,23,3.71662,-0.19486,1
13,24,-1.38338,-0.09486,1
14,24,-1.28338,-0.09486,1
15,24,-1.18338,-0.09486,1
43,24,1.61662,-0.09486,1
